铻 鋙
链 鏈
铿 鏗
销 銷
锁 鎖
锃 鋥
锄 鋤
锅 鍋
锇 鋨
锈 銹
锉 銼
锊 鋝
锋 鋒
锎 鐦
锏 鐧
锐 鋭
锑 銻
锒 鋃
锓 鋟
锔 鋦
锖 錆
错 錯
锚 錨
锛 錛
锜 錡
锞 錁
锟 錕
锠 錩
锡 錫
锢 錮
锣 鑼
锤 錘 鎚
锥 錐
锦 錦
锧 鑕
锨 杴 鍁
锫 錇
锬 錟
锭 錠
键 鍵
锯 鋸
锰 錳
锱 錙
锲 鍥
锴 鍇
锵 鏘
锷 鍔
锸 鍤
锹 鍬
锻 鍛
锼 鎪
锽 鍠
锾 鍰
锿 鎄
镀 鍍
镁 鎂
镂 鏤
镃 鎡
镆 鏌
镇 鎮
镈 鎛
镉 鎘
镊 鑷
镋 鎲
镌 鎸 鐫
镍 鎳
镏 鎦
镐 鎬
镑 鎊
镒 鎰
镔 鑌
镕 鎔
镖 鏢
镗 鏜
镘 鏝
镙 鏍
镛 鏞
镜 鏡
镝 鏑
镞 鏃
镟 鏇
镠 鏐
镡 鐔
镢 鐝 钁
镣 鐐
镤 鏷
镦 鐓
镧 鑭
镩 鑹
镪 鏹
镫 鐙
镬 鑊
镭 鐳
镮 鐶
镯 鐲
镰 鐮
镳 鑣
镴 鑞
镵 鑱
镶 鑲
长 長
闩 閂
闪 閃
闫 閆
闬 閈
闭 閉
问 問
闯 闖
闰 閏
闱 闈
闲 閑
闳 閎
间 間
闵 閔
闶 閌
闷 悶
闸 閘
闹 鬧
闺 閨
闻 聞
闼 闥
闽 閩
闾 閭
闿 闓
阀 閥
阁 閣
阂 閡
阃 閫
阄 鬮
阅 閲
阆 閬
阇 闍
阈 閾
阉 閹
阊 閶
阋 鬩
阌 閿
阍 閽
阎 閻
阏 閼
阐 闡
阑 闌
阒 闃
阓 闠
阔 闊
阕 闋
阖 闔
阗 闐
阘 闒
阙 闕
阚 闞
阛 闤
队 隊
阵 陣
阶 階
际 際
陆 陸
陇 隴
陈 陳
陉 陘
陕 陝
陧 隉
陨 隕
险 險
雏 雛
雠 讎
雳 靂
雾 霧
霁 霽
霭 靄
靓 靚
静 靜
靥 靨
鞑 韃
鞒 鞽
鞯 韉
韦 韋
韧 韌
韨 韍
韩 韓
韪 韙
韫 韞
韬 韜
页 頁
顶 頂
顷 頃
顸 頇
项 項
顺 順
须 鬚
顼 頊
顽 頑
顾 顧
顿 頓
颀 頎
颁 頒
颂 頌
颃 頏
预 預
颅 顱
领 領
