#CB编号, 通用字, 原字, 組合表示式
CB01526,,䏷,[月*旱]                                   
CB01529,,𦡊,[月*豊]                                   
CB01531,楠,𣑮,[木*舟]                                   
CB01533,,𣔭,[木*坴]                                   
CB01535,揯,𢬎,[打-丁+(一/旦)]                             
CB01536,,𢱡,[打-丁+(鎖-金)]                             
CB01537,,𢬶,[打-丁+(唚-口)]                             
CB01538,,㧓,[打-丁+瓜]                                 
CB01539,,𢬓,[打-丁+舛]                                 
CB01540,,㩮,[打-丁+(與/手)]                             
CB01542,,䀹,[目*夾]                                   
CB01543,暗,,[目*音]                                   
CB01547,稚,𥣔,[禾*(這-言+(尸@羊))]                         
CB01552,穿,䆤,[穴/身]                                   
CB01555,,䊩,[米*番]                                   
CB01556,悉,𢘻,[米/心]                                   
CB01559,宛,,[宋-木+死]                                 
CB01562,豹,𤝧,[狂-王+(仁-二+勺)]                           
CB01565,,𧩨,[言*侯]                                   
CB01566,,𧪓,[言*禺]                                   
CB01571,,𢞟,[怡-台+高]                                 
CB01576,流,㳅,[泳-永+不]                                 
CB01577,,㳌,[泳-永+甲]                                 
CB01579,,𣼩,[泳-永+陰]                                 
CB01584,,𨥇,[金*寸]                                   
CB01589,陰,,[阿-可+(企-止+長)]                           
CB01591,,䧄,[阿-可+各]                                 
CB01594,腰,𦝫,[要/月]                                   
CB01595,,𣯟,[旁*毛]                                   
CB01598,暑,,[烈-列+暑]                                 
CB01599,,𤹧,[病-丙+(心/皿/丁)]                           
CB01600,牆,,[病-丙+(青-月+回)]                           
CB01601,,㾈,[病-丙+付]                                 
CB01603,,𤵭,[病-丙+甲]                                 
CB01605,,䮦,[馬*高]                                   
CB01606,,䯇,[骨*力]                                   
CB01607,軒,,[乾-乞+干]                                 
CB01608,,𣂽,[國*斤]                                   
CB01613,,䙜,[袖-由+逢]                                 
CB01617,,䢗,[這-言+曲]                                 
CB01618,,𨒫,[這-言+羊]                                 
CB01620,,𨗨,[這-言+葦]                                 
CB01622,鬄,𨲙,[肆-聿+頁]                                 
CB01623,,𨐯,[辟/分]                                   
CB01624,皰,䶌,[鼻*包]                                   
CB01626,掩,,[撩-(日/小)+(電-雨)]                         
CB01629,縹,𦆝,[縹*寸]                                   
CB01632,鷇,,[聲-耳+鳥]                                 
CB01637,稚,𥠧,[秜-匕+羊]                                 
CB01642,罅,,[礌-田+干]                                 
CB01646,,𨆮,[躤-卄]                                   
CB01651,,𦮽,[卄/告]                                   
CB01653,蔆,䔖,[卄/陵]                                   
CB01657,,𠽋,[口*匿]                                   
CB01658,塔,㗳,[口*答]                                   
CB01659,,𡋺,[土*廷]                                   
CB01661,娩,㝃,[孑*免]                                   
CB01662,,㑌,[仁-二+匡]                                 
CB01664,,䐟,[月*冓]                                   
CB01665,杷,,[標-示+(革*月)]                             
CB01666,,𣏾,[木*戈]                                   
CB01668,斫,𣛰,[木*著]                                   
CB01669,桔,𣚃,[木*絜]                                   
CB01670,鈕,㺲,[王*丑]                                   
CB01672,,㧥,[打-丁+先]                                 
CB01674,,㨶,[打-丁+鳥]                                 
CB01675,,㧺,[打-丁+沓]                                 
CB01677,,𥀝,[皮*宿]                                   
CB01680,,䅐,[禾*見]                                   
CB01681,寱,䆿,[穴/(爿*臬)]                               
CB01685,,䋙,[糸*耳]                                   
CB01686,,䋫,[糸*爭]                                   
CB01687,紵,𦅷,[糸*著]                                   
CB01688,宇,㡰,[序-予+于]                                 
CB01690,,𧋊,[沙/虫]                                   
CB01691,,㲖,[肖*毛]                                   
CB01692,,䞈,[貝*為]                                   
CB01695,,𨡕,[酉*卑]                                   
CB01698,,㵪,[泳-永+羨]                                 
CB01701,,𥳊,[竺-二+發]                                 
CB01703,簜,𥯕,[竺-二+昜]                                 
CB01706,鉹,𨥌,[金*氏]                                   
CB01707,,䤬,[金*沙]                                   
CB01709,,𨭨,[金*慈]                                   
CB01710,,𨭛,[金*葛]                                   
CB01711,,𨰭,[金*纂]                                   
CB01712,垛,𨹃,[阿-可+(乃/木)]                             
CB01715,,𩍓,[革*雍]                                   
CB01716,,㲣,[叟*毛]                                   
CB01717,瘙,,[癈-(弓*殳)+虫]                             
CB01718,,㿉,[病-丙+貴]                                 
CB01719,瘙,㿋,[病-丙+喿]                                 
CB01720,,㥲,[真/心]                                   
CB01721,,𧽸,[起-巳+厥]                                 
CB01722,,䭸,[馬*父]                                   
CB01724,,𧙕,[袖-由+未]                                 
CB01728,,䘢,[袖-由+宁]                                 
CB01731,,𣯊,[毯-炎+旁]                                 
CB01732,氀,𣯫,[毯-炎+婁]                                 
CB01736,氀,𣰢,[屢*毛]                                   
CB01737,敧,,[敲-高+(立/(可-一))]                         
CB01738,犛,𤛆,[犛-未+牙]                                 
CB01739,燕,䴏,[燕*鳥]                                   
CB01740,,䌥,[穩-禾+糸]                                 
CB01741,,𥱼,[簿-尃+卑]                                 
CB01746,斫,𣚰,[槎-工+目]                                 
CB01749,爨,𤓥,[〦/(目*目)/(烈-列+(冗-几+林))]                 
CB01750,薄,,[卄/博]                                   
CB01751,,㗧,[口*窒]                                   
CB01752,坑,,[土*(冗/几)]                               
CB01754,,㚲,[女*占]                                   
CB01755,嫂,㛐,[女*更]                                   
CB01756,裮,𢃑,[巾*昌]                                   
CB01757,,㣅,[弓*朁]                                   
CB01758,,㒓,[仁-二+達]                                 
CB01759,扂,,[戶@古]                                   
CB01762,向,𤖽,[片*向]                                   
CB01763,璃,,[王*(黎-(暴-(日/共))+(恭-共))]                 
CB01766,,𡖦,[外*男]                                   
CB01775,,𦃽,[糸*邕]                                   
CB01776,繢,𦆠,[糸*匱]                                   
CB01778,,䖶,[虫*豕]                                   
CB01779,蛭,𧓳,[虫*質]                                   
CB01781,兕,𠒃,[坐-工+兀]                                 
CB01782,豚,㹠,[狂-王+屯]                                 
CB01784,,䛘,[言*任]                                   
CB01786,,𨣵,[酉*(替-曰+貝)]                             
CB01789,,𥱿,[竺-二+處]                                 
CB01793,,䩛,[革*必]                                   
CB01794,,𩎊,[革*羅]                                   
CB01796,,䭉,[飢-几+(堶-土)]                             
CB01800,,㼾,[鹿*瓦]                                   
CB01803,,𧿟,[跳-兆+互]                                 
CB01805,,䠨,[跳-兆+詹]                                 
CB01811,麩,䴸,[麩-夫+孚]                                 
CB01812,,𩋨,[輻-車+革]                                 
CB01814,蛗,䘀,[蠡-彖+阜]                                 
CB01817,纇,,[絭*頁]                                   
CB01819,垛,,[(土*乃)/木]                               
CB01822,,𧗕,[(盥-水+囟)-皿+血]                           
