矮 躷 U+77EE U+8EB7
驢 馿 U+9A62 U+99BF
呂 吕 U+5442 U+5415
穭 穞 U+7A6D U+7A5E
綠 绿 U+7DA0 U+7EFF
麻 蔴 U+9EBB U+8534
麼 麽 U+9EBC U+9EBD
麼 庅 U+9EBC U+5E85
罵 駡 U+7F75 U+99E1
脈 脉 U+8108 U+8109
脈 衇 U+8108 U+8847
賣 売 U+8CE3 U+58F2
滿 満 U+6EFF U+6E80
漫 澷 U+6F2B U+6FB7
尨 狵 U+5C28 U+72F5
硭 𥐞 U+786D U+2541E
蟒 蠎 U+87D2 U+880E
貓 猫 U+8C93 U+732B
卯 戼 U+536F U+623C
冒 冒 U+5192 U+2F8D2
貌 皃 U+8C8C U+7683
梅 楳 U+6885 U+6973
沒 没 U+6C92 U+6CA1
每 毎 U+6BCF U+6BCE
美 羙 U+7F8E U+7F99
門 门 U+9580 U+95E8
濛 靀 U+6FDB U+9740
萌 萠 U+840C U+8420
懵 懜 U+61F5 U+61DC
夢 梦 U+5922 U+68A6
敉 侎 U+6549 U+4F8E
濔 沵 U+6FD4 U+6CB5
密 宻 U+5BC6 U+5BBB
綿 緜 U+7DBF U+7DDC
娩 㝃 U+5A29 U+3743
麵 麫 U+9EB5 U+9EAB
麵 麪 U+9EB5 U+9EAA
麵 麺 U+9EB5 U+9EBA
廟 庙 U+5EDF U+5E99
廟 庿 U+5EDF U+5EBF
咩 哶 U+54A9 U+54F6
玟 珉 U+739F U+73C9
抿 㨉 U+62BF U+3A09
敏 勄 U+654F U+52C4
嫫 嬷 U+5AEB U+5B37
歿 殁 U+6B7F U+6B81
默 黙 U+9ED8 U+9ED9
某 厶 U+67D0 U+53B6
拇 𧿹 U+62C7 U+27FF9
畝 畆 U+755D U+7546
畝 畮 U+755D U+756E
乃 廼 U+4E43 U+5EFC
迺 廼 U+8FFA U+5EFC
喃 嫐 U+5583 U+5AD0
楠 枏 U+6960 U+678F
難 难 U+96E3 U+96BE
囊 嚢 U+56CA U+56A2
瑙 碯 U+7459 U+78AF
腦 匘 U+8166 U+5318
鬧 閙 U+9B27 U+9599
內 内 U+5167 U+5185
嫩 𡞾 U+5AE9 U+217BE
鶂 鶃 U+9D82 U+9D83
你 伲 U+4F60 U+4F32
年 秊 U+5E74 U+79CA
廿 卄 U+5EFF U+5344
尿 氽 U+5C3F U+6C3D
尿 脲 U+5C3F U+8132
捏 揑 U+634F U+63D1
孽 孼 U+5B7D U+5B7C
涅 湼 U+6D85 U+6E7C
寧 𡨴 U+5BE7 U+21A34
寧 寜 U+5BE7 U+5BDC
甯 寗 U+752F U+5BD7
佞 侫 U+4F5E U+4FAB
牛 牜 U+725B U+725C
拗 抝 U+62D7 U+629D
農 莀 U+8FB2 U+8380
虐 䖈 U+8650 U+4588
糯 𥻟 U+7CEF U+25EDF
糯 粫 U+7CEF U+7CAB
糯 穤 U+7CEF U+7A64
衄 衂 U+8844 U+8842
哦 誐 U+54E6 U+8A90
腢 髃 U+8162 U+9AC3
棑 篺 U+68D1 U+7BFA
攀 㐴 U+6500 U+3434
爿 𤕪 U+723F U+2456A
爿 丬 U+723F U+4E2C
雱 霶 U+96F1 U+9736
龐 龎 U+9F90 U+9F8E
皰 疱 U+76B0 U+75B1
砲 礮 U+7832 U+792E
胚 肧 U+80DA U+80A7
裴 裵 U+88F4 U+88F5
旆 斾 U+65C6 U+65BE
蟛 蟚 U+87DB U+87DA
披 㓟 U+62AB U+34DF
砒 磇 U+7812 U+78C7
胼 腁 U+80FC U+8141
駢 騈 U+99E2 U+9A08
飄 飃 U+98C4 U+98C3
撇 撆 U+6487 U+6486
帡 帲 U+5E21 U+5E32
憑 凴 U+6191 U+51F4
軿 輧 U+8EFF U+8F27
潑 溌 U+6F51 U+6E8C
叵 尀 U+53F5 U+5C00
迫 廹 U+8FEB U+5EF9
鋪 舗 U+92EA U+8217
鋪 舖 U+92EA U+8216
譜 諩 U+8B5C U+8AE9
慼 慽 U+617C U+617D
俟 竢 U+4FDF U+7AE2
奇 竒 U+5947 U+7AD2
蜞 蜝 U+871E U+871D
齊 斉 U+9F4A U+6589
齊 亝 U+9F4A U+4E9D
齊 斋 U+9F4A U+658B
啟 啓 U+555F U+5553
器 噐 U+5668 U+5650
憩 憇 U+61A9 U+6187
氣 気 U+6C23 U+6C17
掐 𠜼 U+6390 U+2073C
縴 纤 U+7E34 U+7EA4
乾 亁 U+4E7E U+4E81
潛 濳 U+6F5B U+6FF3
箝 钳 U+7B9D U+94B3
塹 壍 U+5879 U+58CD
檣 艢 U+6AA3 U+8262
牆 墻 U+7246 U+58BB
繈 繦 U+7E48 U+7E66
鍬 鍫 U+936C U+936B
敿 敽 U+657F U+657D
峭 陗 U+5CED U+9657
鞘 韒 U+9798 U+97D2
竊 窃 U+7ACA U+7A83
篋 匧 U+7BCB U+5327
唚 吣 U+551A U+5423
撳 搇 U+64B3 U+6407
清 淸 U+6E05 U+6DF8
輕 軽 U+8F15 U+8EFD
青 靑 U+9752 U+9751
檠 𢐧 U+6AA0 U+22427
煢 焭 U+7162 U+712D
窮 竆 U+7AAE U+7AC6
丘 㐀 U+4E18 U+3400
秋 穐 U+79CB U+7A50
鞦 鞧 U+97A6 U+97A7
鰍 鰌 U+9C0D U+9C0C
虯 虬 U+866F U+866C
嶇 㠊 U+5D87 U+380A
蛆 𧐅 U+86C6 U+27405
覷 覰 U+89B7 U+89B0
驅 駈 U+9A45 U+99C8
麴 麯 U+9EB4 U+9EAF
圈 圏 U+5708 U+570F
全 㒰 U+5168 U+34B0
犬 犭 U+72AC U+72AD
券 劵 U+5238 U+52B5
勸 劝 U+52F8 U+529D
卻 却 U+537B U+5374
愨 慤 U+6128 U+6164
群 羣 U+7FA4 U+7FA3
裙 帬 U+88D9 U+5E2C
裙 裠 U+88D9 U+88E0
蚺 蚦 U+86BA U+86A6
壤 壌 U+58E4 U+58CC
讓 譲 U+8B93 U+8B72
熱 𤍠 U+71B1 U+24360
人 亻 U+4EBA U+4EBB
忍 㣼 U+5FCD U+38FC
任 仼 U+4EFB U+4EFC
刃 刄 U+5203 U+5204
妊 姙 U+598A U+59D9
衽 袵 U+887D U+88B5
韌 靭 U+97CC U+976D
韌 靱 U+97CC U+9771
飪 䏕 U+98EA U+43D5
飪 餁 U+98EA U+9901
融 螎 U+878D U+878E
冗 冗 U+5197 U+2F817
冗 宂 U+5197 U+5B82
肉 宍 U+8089 U+5B8D
儒 㐵 U+5112 U+3435
軟 輭 U+8EDF U+8F2D
蕊 蕋 U+854A U+854B
蚋 蜹 U+868B U+8739
銳 鋭 U+92B3 U+92ED
腮 顋 U+816E U+984B
三 叁 U+4E09 U+53C1
鏾 𠜎 U+93FE U+2070E
桑 桒 U+6851 U+6852
搔 掻 U+6414 U+63BB
臊 𦞣 U+81CA U+267A3
澀 渋 U+6F80 U+6E0B
澀 澁 U+6F80 U+6F81
澀 瀒 U+6F80 U+7012
傻 儍 U+50BB U+510D
廈 厦 U+5EC8 U+53A6
刪 删 U+522A U+5220
姍 姗 U+59CD U+59D7
潸 𣽽 U+6F78 U+23F7D
羶 羴 U+7FB6 U+7FB4
芟 𠚹 U+829F U+206B9
善 譱 U+5584 U+8B71
膳 饍 U+81B3 U+994D
鱔 鱓 U+9C54 U+9C53
上 丄 U+4E0A U+4E04
尚 尙 U+5C1A U+5C19
苕 䒒 U+82D5 U+4492
紹 佋 U+7D39 U+4F4B
攝 摂 U+651D U+6442
